,mean_ret,std_error_nw_ret,tstat_nw_ret,mean_ct,std_error_nw_ct,tstat_nw_ct,mean_chg,std_error_nw_chg,tstat_nw_chg,mean_misp,std_error_nw_misp,tstat_nw_misp
pchsaleinv,-0.008412411284013797,0.006925871839398519,-1.2146357136092165,0.04151901633709856,0.03712954574166043,1.1182204227861863,-0.2101428304128786,0.1352531304397155,-1.5537003079314502,0.01741368961058343,0.008336484140288059,2.0888529645762293
pctacc,-0.003239566098177325,0.0007039238624022879,-4.602154112408728,-0.0008024246369728044,0.0032583131377701773,-0.24626995719691408,-0.003530419636210839,0.006194989516223075,-0.5698830687228095,-0.0008969310835735402,0.0009460098332724912,-0.9481202541741295
ps,0.022917101803502676,0.002848744790452109,8.044631404087843,0.02073966004102047,0.02531809561874971,0.8191635087143517,-0.0897339160358783,0.021428052108827783,-4.187684236539183,0.040386213856058964,0.004806616345182641,8.402212899004398
quick,-0.011968824998217685,0.0028705878126825935,-4.169468338623195,-0.004008607375058465,0.006508134162454015,-0.6159380361555029,-0.00439697469263972,0.011915516111574638,-0.3690125254724413,0.005170605617495004,0.0017497566573782314,2.955042688760186
rd,0.007120023705028554,0.017915746897176604,0.39741707370015483,-0.3716017885851661,0.13204462951250448,-2.8142135727676516,-0.47056113420474965,0.2207693753210304,-2.1314601879019053,0.21595183467257503,0.023651985496523774,9.130389273421224
rd_mve,0.3986722975313274,0.17383807676993643,2.2933542808285012,-3.1466633905138743,1.0814132443349196,-2.909769606575426,1.0206820796591578,1.090780181422295,0.9357358128090165,0.38912704446976176,0.19328025746724067,2.0132787982017017
rd_sale,-0.5501194668559493,0.14454821699041379,-3.805785213472625,-0.13393326702783795,0.03131806374279281,-4.276550048808808,-0.3227771651394898,0.10227052672001523,-3.156111300992444,0.9632133788818424,0.22856104868502009,4.214249910137779
realestate,0.11563423790287762,0.0386864373920042,2.9890123179648787,1.0365070264697276,0.36850810595339434,2.812711605863063,1.1670646868513277,0.9735529416926944,1.1987685896384628,-0.1701491353940037,0.03091423186184838,-5.503909531195137
roic,0.13948534773164417,0.022417387783562975,6.222194533919716,0.07095121977967861,0.043019218033374516,1.6492912475683381,0.0159538395536655,0.12514778769826956,0.12747999662710854,0.06017030025540691,0.03764974819277495,1.5981594338246778
salecash,6.373027747151018e-05,3.236822966035234e-05,1.9689145232917398,-0.0002775242986969961,0.00013392332825649592,-2.0722625573154008,-0.00035293446485164324,0.00042069262532955465,-0.8389366573164142,-0.000503099339870489,5.2870156212199636e-05,-9.515752854053423
saleinv,0.00012082734242610532,0.00010302849719427705,1.1727565257820431,0.0008015815337726003,0.00027870415339893755,2.8761018592543732,-0.001275849167327733,0.0005989221220501088,-2.1302421806703427,-0.0005521393020262186,5.209155476293628e-05,-10.599401468029743
salerec,0.0005242718072757835,0.000251134663735757,2.087612277321543,0.0016279703880440477,0.0031302791128051443,0.5200719582431008,-0.006271187756333362,0.002062598191934609,-3.040431132372572,0.0018651672574225777,0.00017958712362164508,10.385862971735769
secured,-0.03286957500214641,0.011549609091313195,-2.8459469703497238,-0.09948075655877883,0.07016424983026047,-1.4178268391586897,-0.14176830018260966,0.11699037816763234,-1.2117945287729022,-0.14567172040824075,0.03027116478706814,-4.812227128784678
securedind,-0.02508502832919115,0.01542591613660969,-1.6261613318160006,-0.2097179669356109,0.06841944938676464,-3.0651805709529674,-0.4352823595574991,0.2456943810895045,-1.7716414906490239,0.052965577153808646,0.015356844096108766,3.448988400372539
sgr,-0.04254295107392645,0.01612674593802024,-2.6380369131771126,0.2390834530868568,0.09667836018399151,2.4729779511345646,-1.1667422287729021,0.5579187578591428,-2.091240368490117,0.40898440953593573,0.022180704233102217,18.438747716836343
sin,0.1673539918491199,0.033504380583920565,4.994988384576687,-0.34845083911996233,0.15418369467352777,-2.259972040868397,-0.39430838899073534,0.16229723233980756,-2.429544751355696,-0.10311661354745663,0.04395733901887205,-2.34583384365432
sp,0.01880953354771199,0.003962419097343093,4.746982357399872,-0.008082993996474613,0.016350128358822116,-0.49436884035917883,0.07389414813155981,0.03861872034563616,1.9134281889769997,-0.11480766678068693,0.006343418316785703,-18.098706572273095
tang,-0.05745320391327617,0.04288400629361505,-1.3397349939721073,-0.5945244350222181,0.25068857741263384,-2.3715657137565938,-1.627249624014562,0.6700699434857138,-2.4284772654472238,0.26868983420042114,0.07097283215919298,3.7858124866392027
tb,0.008551575956617485,0.0024668050584821153,3.466660621281309,-0.04506595448646389,0.03106711858933636,-1.4505997508868609,0.05316898899482626,0.046198431469744436,1.1508829911172824,-0.02681931098908509,0.004213508025167955,-6.36507889124432
aeavol,0.002222673509277728,0.0017544752680271542,1.2668594136280111,-0.07023372001662502,0.030066929637870547,-2.3359126077230954,-0.05994639850702986,0.030210860042859975,-1.9842665326966609,0.008228483464446552,0.0068011001253258365,1.2098753602825882
cash,-0.05876085589836524,0.06347776078766833,-0.9256920088110696,-0.7464884036483785,0.2666885292377122,-2.799102030305165,-1.629972922532322,0.5240268180690725,-3.110476155663991,1.4059585245049546,0.10395831168474784,13.52425315224919
chtx,0.15052141838265937,0.46387642616989727,0.32448602664609233,10.28215173969673,2.3424274751564385,4.389528319979272,-22.12212637320882,5.608178534236624,-3.9446187809746758,12.786255756479443,0.6416089452109541,19.928425019503834
cinvest,-0.004350555884254246,0.0036242142371128118,-1.2004135516337648,-0.016429029217684646,0.016090611638335365,-1.0210319897686806,0.025109622725546208,0.03266535653683169,0.7686927493729926,-0.0003720996440148082,0.004029209973040559,-0.09235052193966724
ear,0.22642650539265655,0.03618019830823517,6.258299179668078,0.6506998987484489,0.17937341132671106,3.627627383209337,-1.3865639177895803,0.38014746987237225,-3.6474369229791126,0.6422446835135882,0.06117534506229131,10.498423553796512
nincr,0.0019787127473414236,0.0027979101852435052,0.7072109597289357,0.06479805292421795,0.01678277004608755,3.8609867588171993,-0.10342953121092424,0.03184143407726662,-3.24826862257339,0.08852082882949844,0.00322938758852962,27.411026519056843
roaq,0.798431296788251,0.2886747936597562,2.7658504113432034,3.972973040083942,1.2994411672929063,3.0574474166927765,-4.30183317049245,1.0883659742781935,-3.9525612451688725,2.8269070637738087,0.5239142686656025,5.395743603192704
roavol,-2.468767394424869,0.4369894001398102,-5.649490339205053,-3.0185173959146474,1.23213277851511,-2.449831258894336,-2.553268663095099,2.128339504836626,-1.1996529018480495,3.781568854766161,0.39873901758388797,9.483819460859715
